sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రధాని ఢిల్లీలో జరిగిన సమావేశంలో పాల్గొన్నారు.	-48.975048195236354	-48.830220234765434	-48.975048195236354
ఐటీ విభాగం హైదరాబాద్లో భారీ సంఖ్యలో ఉద్యోగాలను సృష్టించింది.	-77.07069641343203	-76.89200974663694	-77.07069641343203
క్రికెట్ జట్టు వచ్చే ఆటకు సిద్ధంగా ఉందని కెప్టెన్ ప్రకటించారు.	-77.79346172398265	-77.58938829874104	-77.79346172398265
బజాట్లో విద్యా రంగానికి కేటాయింపులు పెరిగాయి.	-64.7134646900805	-65.26400497993372	-64.7134646900805
రాష్ట్ర ప్రభుత్వం కొత్త సిలబస్ను రద్దు చేసింది.	-60.157924631458606	-60.27977458466968	-60.157924631458606
ప్రపంచ ఆర్థిక వ్యవస్థపై అంతర్జాతీయ నిపుణులు ఆందోళన వ్యక్తం చేశారు.	-74.91031500896497	-74.70528656213774	-74.91031500896497
పోలీసులు నగరంలో భద్రతా ఏర్పాట్లను మరింత బలోపేతం చేశారు.	-68.57010965784409	-68.38571293021268	-68.57010965784409
న్యాయవాదులు హైకోర్టు ముందు నూతన చట్టానికి వ్యతిరేకంగా నిరసన వ్యక్తం చేశారు.	-86.61427098875934	-86.3889842157289	-86.61427098875934
కోవిడ్-19 వ్యాధిని నియంత్రించడానికి ప్రభుత్వం కఠినమైన మార్గదర్శకాలను జారీ చేసింది.	-92.49494408319788	-92.98802652983179	-92.49494408319788
కరోనా సమయంలో వైద్య సిబ్బంది బాధ్యతాయుతంగా పని చేశారు.	-63.394493986884555	-63.212807413625335	-63.394493986884555
రైతులు ఉత్పత్తి చేసిన పంటలకు మంచి ధరలు లభించడం చాలా అవసరం.	-85.05928837036774	-84.83472867179235	-85.05928837036774
సుప్రీంకోర్టు న్యాయమూర్తి గ్రామీణ ప్రాంతాల్లో న్యాయ సేవల పరిధిని విస్తరించాలని సూచించారు.	-98.1069876659941	-97.88792937873613	-98.1069876659941
రాష్ట్రంలోని అన్ని జిల్లాల్లో భారీ వర్షాలు కురిశాయి.	-62.24606691935516	-62.08532513223233	-62.24606691935516
నదుల్లో నీటి స్థాయి పెరగడంతో ప్రభుత్వం అత్యవసర హెచ్చరికలు జారీ చేసింది.	-91.2257383482527	-91.009077401398	-91.2257383482527
విపక్ష నేత ప్రభుత్వం చేసిన నిర్ణయాలపై తీవ్ర విమర్శలు చేశారు.	-74.51542086903149	-74.31392705383078	-74.51542086903149
ఆర్బిఐ వడ్డీ రేట్లను మార్చదు అని ప్రకటించింది.	-73.50230951324266	-73.64398647811781	-73.50230951324266
ఆంధ్రప్రదేశ్ మరియు తెలంగాణ రాష్ట్రాల మధ్య నీటి బకాయిలపై చర్చలు జరిగాయి.	-85.58807659494335	-85.37800472707796	-85.58807659494335
ప్రభుత్వం గ్రామీణ ఉద్యోగ హామీ పథకం క్రింద పని దినాలను పెంచింది.	-93.3518673674943	-93.14668446828996	-93.3518673674943
ప్రముఖ సాంస్కృతిక సంస్థ వార్షికోత్సవాన్ని ఢాంగీగా జరుపుకుంది.	-76.66789910162792	-77.21410808636142	-76.66789910162792
శాసనసభ సదస్సు రెండు వారాల పాటు వాయిదా వేయబడింది.	-73.90477118670576	-73.73387695896443	-73.90477118670576
ప్రభుత్వం పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టాలని ప్రణాళిక రూపొందించింది.	-89.8791361205248	-89.68097260074622	-89.8791361205248
అంతరిక్ష సంస్థ తన కొత్త ఉపగ్రహాన్ని విజయవంతంగా ప్రక్షేపించింది.	-78.70221668378191	-79.21466327315798	-78.70221668378191
రాష్ట్ర రవాణా సంస్థ ఇలెక్ట్రిక్ బస్సులను పరిచయం చేసింది.	-74.40653458227013	-74.91420005875632	-74.40653458227013
మహిళా సాధికారతకు సంబంధించిన బిల్లుపై సంసద్లో చర్చ జరిగింది.	-83.04166856446479	-83.56779563102099	-83.04166856446479
రాష్ట్ర ప్రభుత్వం పేదలకు ఉచిత ఆవాసయోజనను ప్రారంభించింది.	-68.2517187179251	-68.78011862336281	-68.2517187179251
ప్రధాన మంత్రి కార్యాలయం నుండి నూతన ప్రకటన వెలువడింది.	-66.31922050662837	-66.13547154608784	-66.31922050662837
రాష్ట్రంలోని అన్ని పాఠశాలల్లో శుభ్రతా కార్యక్రమం నిర్వహించబడుతుంది.	-72.05297284921339	-72.07503996389893	-72.05297284921339
కేంద్ర మంత్రి రాష్ట్ర పర్యటనను రద్దు చేశారు.	-55.03224738179598	-54.868409110196446	-55.03224738179598
ఆస్ట్రేలియా క్రికెట్ జట్టు భారత్ పర్యటన కోసం వచ్చింది.	-64.70351248873102	-64.51749375200126	-64.70351248873102
రైతుల ఆందోళనకు రాష్ట్ర ప్రభుత్వం సమాధానం ఇవ్వాలని హైకోర్టు ఆదేశించింది.	-76.186297593409	-75.97997807197245	-76.186297593409
నగరంలో కొత్తగా మల్టీస్పెషాలిటీ హాస్పిటల్ ప్రారంభించబడింది.	-62.70215694441924	-62.63598941934528	-62.70215694441924
రాష్ట్ర ప్రభుత్వం ఉపాధి హామీ పథకం క్రింద వేతనాలను పెంచింది.	-81.49635659797357	-81.29585790883344	-81.49635659797357
ప్రభుత్వం ప్రకటించిన కొత్త విధానాలపై రాజకీయ పార్టీలు తమ ప్రతిక్రియలను తెలిపాయి.	-92.71620165261834	-92.67441179604441	-92.71620165261834
ఆర్థిక సంవత్సరం మొదటి త్రైమాసికంలో జిడిపి వృద్ధి రేటు మెరుగుపడింది.	-87.2486528635965	-87.05791241997476	-87.2486528635965
ప్రభుత్వం పేద వర్గాల కోసం ఆహార పంపిణీ విధానాన్ని మార్చింది.	-79.07100591624189	-78.8668919405862	-79.07100591624189
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ లైబ్రరీలు స్థాపించబడతాయి.	-74.23391524084406	-74.80422336398819	-74.23391524084406
కేంద్ర బడ్జెట్ లో రక్షణ దళాలకు అదనపు నిధులు కేటాయించబడ్డాయి.	-83.53635685270409	-83.4666787784446	-83.53635685270409
రాష్ట్రంలో సాగు భూమి విస్తీర్ణం గత వత్సరం కంటే పెరిగింది.	-84.13424868502265	-84.00281645314605	-84.13424868502265
ప్రభుత్వం ఉన్నత విద్యలో గుణాత్మక మార్పులను తీసుకువచ్చే లక్ష్యాన్ని నిర్దేశించుకుంది.	-96.88092055516802	-96.73033883371812	-96.88092055516802
నగరంలో అతిపెద్ద సోలార్ ప్లాంట్ ప్రారంభించబడింది.	-59.61853084172528	-59.479619852848955	-59.61853084172528
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఆస్పత్రుల్లో మూడు షిఫ్ట్లలో వైద్య సేవలు అందించబడతాయి.	-97.04623704244008	-97.53454757386639	-97.04623704244008
ప్రధాని ఆరోగ్య యోజన క్రింద లక్షలాది మంది ప్రయోజనం పొందుతున్నారు.	-81.4809851899846	-81.27670986400531	-81.4809851899846
రాష్ట్రంలోని పట్టణ ప్రాంతాల్లో మౌసూన్ సెషన్ సమయంలో భారీ వర్షాలు కురిశాయి.	-99.45769082898768	-99.9289120153989	-99.45769082898768
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్ర పోలీసు దళం సైబర్ క్రైమ్ నివారణ కోసం ప్రత్యేక యూనిట్ ఏర్పాటు చేసింది.	-102.82095765277032	-102.55490571609909	-102.82095765277032
ఆహార్ పథకం క్రింద లక్షలాది మందికి అన్నపూర్ణా కార్డులు జారీ చేయబడ్డాయి.	-106.06178591517855	-106.14966491325556	-106.06178591517855
రాష్ట్ర ప్రభుత్వం పంటల బీమా పథకాన్ని విస్తరించింది.	-63.46163257801434	-63.299397815721186	-63.46163257801434
గ్రామ సచివాలయాల్లో డిజిటల్ సదుపాయాలు అందించబడతాయి.	-63.11013862287491	-62.993592798348566	-63.11013862287491
రాష్ట్రంలోని అన్ని జిల్లాల్లో స్మార్ట్ క్లాస్ రూమ్స్ ఏర్పాటు చేయబడతాయి.	-83.83567400101799	-83.63917279499023	-83.83567400101799
ప్రభుత్వం పారిశ్రామికీకరణను ప్రోత్సహించడానికి నూతన విధానాన్ని ప్రకటించింది.	-69.67457381968187	-69.64618405885557	-69.67457381968187
రాష్ట్రంలోని అన్ని మహిళా కళాశాలల్లో సెల్ఫ్ డిఫెన్స్ శిక్షణ ఇవ్వబడుతుంది.	-87.6565281415903	-87.45856492611624	-87.6565281415903
ప్రభుత్వం గ్రామీణ వికాసానికి అదనపు నిధులను కేటాయించింది.	-67.22346568328379	-67.06828653282902	-67.22346568328379
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఉద్యోగులకు సిక్స్త్ పే కమిషన్ ప్రకారం వేతనాలు విధించబడతాయి.	-109.06283701246738	-108.95157929326975	-109.06283701246738
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అमలు చేయబడుతుంది.	-79.51453499811883	-80.02315199186307	-79.51453499811883
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషন్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-102.05597032993816	-102.53467191291314	-102.05597032993816
